,id,player,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,espn_names,espn_id,picked,blacklist,Name,Pos,Team,Bye,%,pick,espnid,probpicked,pbest,emaxw,emax,opp,oc
89,11936,Chris Boswell,PIT,K,31.0,6,K,weighted,102.475970378247,19.0,0.315549686704514,25.6734920719868,70.353712036038,129.514471869784,1.0,-8.20306712824384,136.0,-21.3862296177402,175.0,-2.08301008643232,119.0,Chris Boswell,17372,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,101.308295097445,0.0
40,8742,Mason Crosby,GBP,K,36.0,13,K,weighted,106.564496949674,13.0,1.05860532254736,23.7396572975089,79.1243866575238,134.10886718465,1.0,-4.11454055681669,119.0,-12.615554996254401,144.0,2.51138522843419,97.0,Mason Crosby,10636,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,101.308295097445,0.0
91,11947,Brandon McManus,DEN,K,29.0,6,K,weighted,103.18829614397801,18.0,0.7201684653046949,21.482520995698298,76.7845638481102,122.052025726744,1.0,-7.49074136251294,133.0,-14.9553778056681,151.0,-9.54545622947175,147.0,Brandon McManus,16339,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,101.308295097445,0.0
172,13639,Anthony Miller,CHI,WR,26.0,2,WR,weighted,108.826672166215,47.0,1.5753250324987098,12.5227036150343,99.1,127.343220640569,8.0,-17.709477319944998,173.0,-6.63333333333333,125.0,-14.575568747978,166.0,Anthony Miller,3050487,False,False,Anthony Miller,WR,CHI,11.0,1.0,23.0,3050487,0.0,0.0,0.0,0.0,172.94657087132694,-0.0
154,13403,Younghoe Koo,ATL,K,26.0,3,K,weighted,107.52991426040501,10.0,0.560110005116499,29.773056254268397,73.0172945841123,135.542534627796,1.0,-3.1491232460856495,114.0,-18.7226470696659,166.0,3.9450526715795897,95.0,Younghoe Koo,3049899,False,False,Younghoe Koo,PK,ATL,10.0,1.0,23.0,3049899,0.0,0.0,0.0,0.0,101.308295097445,0.0
146,13290,Tarik Cohen,CHI,RB,25.0,3,RB,weighted,107.851138230544,41.0,7.08751549972968,10.523487517117198,100.8,124.610697674419,7.0,-8.47934578553262,139.0,0.824333333333342,104.0,-15.0266907411761,169.0,Tarik Cohen,3066158,False,False,Tarik Cohen,RB,CHI,11.0,1.0,23.0,3066158,0.0,0.0,0.0,0.0,186.81474004962547,-0.0
37,8153,Robbie Gould,SFO,K,38.0,15,K,weighted,112.924409756605,7.0,3.36805837517197,34.0781652984073,70.3115059162195,142.48844782147498,1.0,2.24537225011464,97.0,-21.428435737558697,176.0,10.890965865259199,84.0,Robbie Gould,9354,False,False,Robbie Gould,PK,SF,11.0,1.0,23.0,9354,0.0,0.0,0.0,0.0,101.308295097445,0.0
194,14080,Devin Singletary,BUF,RB,23.0,1,RB,weighted,163.992242941897,25.0,13.2012056867201,46.557432163231,126.37799999999999,231.849135338365,5.0,47.661758925819996,37.0,26.402333333333303,61.0,92.2117469227701,18.0,Devin Singletary,4040761,False,False,Devin Singletary,RB,BUF,11.0,1.0,23.0,4040761,0.0,0.0,0.0,0.0,186.81474004962547,-0.0
176,13672,Mike Gesicki,MIA,TE,25.0,2,TE,weighted,91.379085266494,14.0,1.9500021344373601,13.0538700881929,78.4,111.165996441281,6.0,-3.0398000550279396,113.0,-3.13333333333333,117.0,0.502677520237384,103.0,Mike Gesicki,3116164,False,False,Mike Gesicki,TE,MIA,11.0,1.0,23.0,3116164,0.0,0.0,0.0,0.0,158.48911069098426,-0.0
94,12152,Tevin Coleman,SFO,RB,27.0,5,RB,weighted,115.186261708827,37.0,3.1100767201098596,12.8981194276294,103.835,133.78565644173202,7.0,-1.14422230724999,109.0,3.85933333333332,93.0,-5.851731973862309,131.0,Tevin Coleman,2979477,False,False,Tevin Coleman,RB,SF,11.0,1.0,23.0,2979477,0.0,0.0,0.0,0.0,186.81474004962547,-0.0
45,9474,Jared Cook,NOS,TE,33.0,11,TE,weighted,107.440145234493,6.0,1.91253330918966,13.4151006922829,91.61399999999999,122.213073394495,5.0,13.021259912971301,78.0,10.0806666666667,78.0,11.549754473451701,82.0,Jared Cook,12537,False,False,Jared Cook,TE,NO,6.0,1.0,23.0,12537,0.0,0.0,0.0,0.0,158.48911069098426,-0.0
