player,espn_names,espn_id
Ke'Shawn Vaughn,Ke'Shawn Vaughn,3917612
Justin Jefferson,Justin Jefferson,4262921
Jerry Jeudy,Jerry Jeudy,4241463
Henry Ruggs,Henry Ruggs III,4241475
Jalen Reagor,Jalen Reagor,4241802
AJ Dillon,AJ Dillon,4239934
Justin Rohrwasser,Justin Rohrwasser,3913295
Brandon Aiyuk,Brandon Aiyuk,4360438
Joe Burrow,Joe Burrow,3915511
Michael Pittman,Michael Pittman,4035687
Tua Tagovailoa,Tua Tagovailoa,4241479
Denzel Mims,Denzel Mims,4035403
Tee Higgins,Tee Higgins,4239993
Darrynton Evans,Darrynton Evans,4036431
Chase Claypool,Chase Claypool,4046692
Joshua Kelley,Joshua Kelley,3910544
Bryan Edwards,Bryan Edwards,4038818
Devin Asiasi,Devin Asiasi,4046522
