"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"11193","Giovani Bernard","CIN","RB",29,7,"RB","weighted",58.5964804429259,69,3.1967605657906,8.94999613405539,47.6,69.7077034883721,10,-57.0928763006219,298,-52.3756666666667,264,-70.560564266956,336
"11222","Keenan Allen","LAC","WR",28,7,"WR","weighted",144.710789273191,24,0.420389825733537,11.4711996565334,129.29,157.538545454545,6,18.1746397870316,69,23.5566666666667,65,15.6197560659981,77
"11225","Cordarrelle Patterson","CHI","WR",29,7,"WR","weighted",37.0260350194553,115,0.303705419898456,9.08385524083688,28.1,44.611947826087,13,-89.5101144667043,433,-77.6333333333333,367,-97.3068415624604,425
"11227","Kenny Stills","HOU","WR",28,7,"WR","weighted",74.4269806763285,78,0.627814357626988,21.6337540939636,46.5,98.933665480427,11,-52.109168809831,283,-59.2333333333333,276,-42.9851239081204,269
"11228","Robert Woods","LAR","WR",28,7,"WR","weighted",154.598359746446,16,2.03588211951359,10.9478392662344,139.5,167.176636363636,5,28.0622102602869,54,33.7666666666667,50,25.257846975089,62
"11232","DeAndre Hopkins","ARI","WR",28,7,"WR","weighted",173.457616797457,6,5.62907622976854,18.3877431784422,162.5,201.649181818182,4,46.9214673112975,38,56.7666666666667,28,59.7303924296344,30
"11244","Travis Kelce","KCC","TE",31,7,"TE","weighted",171.021473521956,1,29.0160517429422,10.6702585029879,157.5,182.814272727273,1,76.6025882004341,20,75.9666666666667,18,72.150953806229,26
"11247","Zach Ertz","PHI","TE",30,7,"TE","weighted",127.906817964622,4,14.2938860493852,10.5680281485234,117.3,141.906174377224,3,33.4879326430999,49,35.7666666666667,46,31.2428554561805,55
"11248","Jordan Reed","SFO","TE",30,7,"TE","weighted",27.0525381903643,55,0.875709937088821,17.8442036192567,3,43.1100303030303,9,-67.3663471311576,324,-78.5333333333333,374,-67.5532886180135,325
"11250","Tyler Eifert","JAC","TE",30,7,"TE","weighted",62.4362097831568,27,1.43025566721003,9.04419796102608,44.682,69.8829181494662,8,-31.9826755383651,223,-36.8513333333333,224,-40.7804007715776,259
"11252","Levine Toilolo","NYG","TE",29,7,"TE","weighted",15.4447344300823,82,0.587644097134778,18.5367712989636,2.9,38.9199709302326,10,-78.9741508914396,374,-78.6333333333333,375,-71.7433479908112,340
