"playerId","player","team","position","age","exp","bye","lower","upper","sdPts","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","actualPoints","games","points","vor","vorLow","vorHigh","overallRank","positionRank","ptsGame","vorGame","vorGameLow","vorGameHigh","adp","auctionValue","adpDiff","cost","ppdollar"
2560839,"Darius Phillips","CIN","DB",24,1,9,0,20.1560183486239,11.8876664192198,0.420965216215068,14,20.1560183486239,NA,NA,NA,NA,NA,23.5,15.5487,12.7453118462013,-99.4003193458695,-99.1321600481348,-102.538737627492,1379,267,0.819702730530611,-6.39466416593863,-6.19576000300842,-6.48337162294607,NA,NA,NA,1,12.7453118462013
2557906,"Vince Biegel","MIA","LB",26,2,5,2.145,70.1377453607852,52.3120954408955,0.028940906488458,14,67.9927453607852,NA,NA,NA,NA,NA,52,16,35.0560767588253,-99.5252459945948,-117.905,-78.5778872532188,1380,164,2.19100479742658,-6.22032787466218,-7.3690625,-4.96393680055225,NA,NA,NA,1,35.0560767588253
2557906,"Vince Biegel","NO","LB",26,2,9,2.145,70.1377453607852,52.3120954408955,0.105438849444106,14,67.9927453607852,NA,NA,NA,NA,NA,52,16,35.0560767588253,-99.5252459945948,-117.905,-78.5778872532188,1380,164,2.19100479742658,-6.22032787466218,-7.3690625,-4.96393680055225,NA,NA,NA,1,35.0560767588253
2556519,"Alex Erickson","CIN","WR",27,3,9,14.933,27.8007926642562,6.86056879500323,2.51290814325261,12,12.8677926642562,362,138.1,15.5,5.11229750362972,NA,46.9,16,22.1872794002391,-99.5802801243216,-74.4606008285204,-116.148883744803,1381,148,1.38670496251494,-6.25054387932927,-4.65378755178253,-7.25930523405017,150.99,NA,1230.01,1,22.1872794002391
2562496,"Blake Cashman","NYJ","LB",49,0,4,9.5,59.4328759894459,37.7189169565129,0.0951140729343791,14,49.9328759894459,NA,NA,NA,NA,NA,35.5,16,34.9981949458484,-99.5831278075718,-110.55,-89.2827566245581,1382,165,2.18738718411552,-6.22394548797323,-6.909375,-5.63299113626096,NA,NA,NA,1,34.9981949458484
2532974,"Kyle Wilber","LVR","LB",30,7,NA,10.65,50.2537862796834,35.2492730421494,0.102420726567829,14,39.6037862796834,NA,NA,NA,NA,NA,7.5,16,34.903080872914,-99.6782418805061,-109.4,-98.4618463343207,1383,166,2.18144255455712,-6.22989011753163,-6.8375,-6.20668424312112,NA,NA,NA,1,34.903080872914
2532974,"Kyle Wilber","OAK","LB",30,7,6,10.65,50.2537862796834,35.2492730421494,0.204841453135657,14,39.6037862796834,NA,NA,NA,NA,NA,7.5,16,34.903080872914,-99.6782418805061,-109.4,-98.4618463343207,1383,166,2.18144255455712,-6.22989011753163,-6.8375,-6.20668424312112,NA,NA,NA,1,34.903080872914
2555366,"Deiondre Hall","PHI","DB",NA,3,10,0,21.3083180428135,19.3747258045114,0.175419532324621,14,21.3083180428135,NA,NA,NA,NA,NA,0,16,12.3243466299862,-99.8212845620846,-99.1321600481348,-101.97146504687,1384,268,0.77027166437414,-6.4440952320951,-6.19576000300842,-6.44791708665722,NA,NA,NA,1,12.3243466299862
2555366,"Deiondre Hall","TB","DB",NA,3,7,0,21.3083180428135,19.3747258045114,0.350839064649243,14,21.3083180428135,NA,NA,NA,NA,NA,0,16,12.3243466299862,-99.8212845620846,-99.1321600481348,-101.97146504687,1384,268,0.77027166437414,-6.4440952320951,-6.19576000300842,-6.44791708665722,NA,NA,NA,1,12.3243466299862
2553441,"David Mayo","NYG","LB",26,4,11,0,71.0427935664879,43.580338508851,0.170014771617559,14,71.0427935664879,NA,NA,NA,NA,NA,73,16,34.6982394197783,-99.8830833336418,-120.05,-77.6728390475162,1385,167,2.16863996373615,-6.24269270835261,-7.503125,-4.90737128769584,NA,NA,NA,1,34.6982394197783
2553441,"David Mayo","SF","LB",26,4,4,0,71.0427935664879,43.580338508851,0.44413448150673,14,71.0427935664879,NA,NA,NA,NA,NA,73,16,34.6982394197783,-99.8830833336418,-120.05,-77.6728390475162,1385,167,2.16863996373615,-6.24269270835261,-7.503125,-4.90737128769584,NA,NA,NA,1,34.6982394197783
2533457,"Alfred Morris","DAL","RB",31,7,8,-0.995539772727273,33.0370944926646,19.0520113187632,0.460820825029224,11,34.0326342653918,270.3,88.2,16,6.59644173879689,NA,0.4,16,20.536587179813,-100.081386021575,-79.2480737447676,-115.906379251579,1386,103,1.28353669873831,-6.25508662634843,-4.95300460904798,-7.24414870322367,172.51,NA,1213.49,1,20.536587179813
2533457,"Alfred Morris","FA","RB",31,7,NA,-0.995539772727273,33.0370944926646,19.0520113187632,1.18529953436135,11,34.0326342653918,270.3,88.2,16,6.59644173879689,NA,0.4,16,20.536587179813,-100.081386021575,-79.2480737447676,-115.906379251579,1386,103,1.28353669873831,-6.25508662634843,-4.95300460904798,-7.24414870322367,172.51,NA,1213.49,1,20.536587179813
2555540,"Derrick Kindred","NYJ","DB",26,3,4,0,20.7017308868502,18.8231825151859,0.116946354883082,14,20.7017308868502,NA,NA,NA,NA,NA,0,16,11.973507565337,-100.172123626734,-99.1321600481348,-102.578052202833,1387,269,0.748344222833563,-6.46602267363567,-6.19576000300842,-6.48582878390492,NA,NA,NA,1,11.973507565337
2555540,"Derrick Kindred","SF","DB",26,3,4,0,20.7017308868502,18.8231825151859,0.233892709766163,14,20.7017308868502,NA,NA,NA,NA,NA,0,16,11.973507565337,-100.172123626734,-99.1321600481348,-102.578052202833,1387,269,0.748344222833563,-6.46602267363567,-6.19576000300842,-6.48582878390492,NA,NA,NA,1,11.973507565337
2495201,"Pernell McPhee","BAL","LB",31,8,8,20,44.765414893617,22.49660224345,0.208209876543208,14,24.765414893617,NA,NA,NA,NA,NA,25,16,34.3582098765432,-100.223112876877,-100.05,-103.950217720387,1388,168,2.14738811728395,-6.26394455480481,-6.253125,-6.54970745475026,NA,NA,NA,1,34.3582098765432
2552605,"Ibraheim Campbell","GB","DB",NA,NA,11,0,20.2973394495413,18.4554869889689,0.0480618859472841,14,20.2973394495413,NA,NA,NA,NA,NA,14,16,11.7396148555708,-100.4060163365,-99.1321600481348,-102.982443640142,1389,270,0.733725928473177,-6.48064096799606,-6.19576000300842,-6.51110324873673,NA,NA,NA,1,11.7396148555708
2552605,"Ibraheim Campbell","TEN","DB",NA,NA,11,0,20.2973394495413,18.4554869889689,0.167869313732705,14,20.2973394495413,NA,NA,NA,NA,NA,14,16,11.7396148555708,-100.4060163365,-99.1321600481348,-102.982443640142,1389,270,0.733725928473177,-6.48064096799606,-6.19576000300842,-6.51110324873673,NA,NA,NA,1,11.7396148555708
2559043,"Chase Allen","FA","LB",26,2,NA,34.15,34.15,NA,0.438607188703465,14,0,NA,NA,NA,NA,NA,0,16,34.15,-100.43132275342,-85.9,-114.565632614004,1390,169,2.134375,-6.27695767208876,-5.36875,-7.21317088560133,NA,NA,NA,1,34.15
2559043,"Chase Allen","MIA","LB",26,2,5,34.15,34.15,NA,0.877214377406929,14,0,NA,NA,NA,NA,NA,0,16,34.15,-100.43132275342,-85.9,-114.565632614004,1390,169,2.134375,-6.27695767208876,-5.36875,-7.21317088560133,NA,NA,NA,1,34.15
2561033,"Dane Cruikshank","TEN","DB",24,1,11,7.745,13.55511375,5.02399368033042,0.643491083676269,14,5.81011375,NA,NA,NA,NA,NA,8,16,11.6434910836763,-100.502140108395,-91.3871600481348,-109.724669339683,1391,271,0.727718192729767,-6.48664870373947,-5.71169750300842,-6.93249235495806,NA,NA,NA,1,11.6434910836763
2560719,"Brandon Facyson","LAC","DB",49,1,12,11.5,11.5,NA,1.03592656940606,14,0,NA,NA,NA,NA,NA,36.5,16,11.5,-100.645631192071,-87.6321600481348,-111.779783089683,1393,273,0.71875,-6.49561689646924,-5.47701000300842,-7.06093696433306,NA,NA,NA,1,11.5
2562784,"Dexter Williams","GB","RB",NA,0,11,0,24.1161178974342,12.6505370032513,0.934329339364421,11,24.1161178974342,241.1,79.6,11,4.97621165073012,NA,1.1,8.6672,19.6149455297546,-101.003027671633,-78.2525339720403,-104.424149584313,1394,104,2.26312367659158,-5.27549964849516,-4.89078337325252,-6.52650934901956,150.89,NA,1243.11,1,19.6149455297546
2495218,"Brooks Reed","ARI","LB",32,8,12,30.5,34.84835,3.81837661840736,0.104646421404837,14,4.34835,NA,109.5,71.5,8.89992160749996,NA,8,16,33.2727856225931,-101.308537130827,-89.55,-113.867282614004,1395,170,2.07954910141207,-6.33178357067669,-5.596875,-7.16952401060133,NA,NA,NA,1,33.2727856225931
2495218,"Brooks Reed","FA","LB",32,8,NA,30.5,34.84835,3.81837661840736,0.209292842809674,14,4.34835,NA,109.5,71.5,8.89992160749996,NA,8,16,33.2727856225931,-101.308537130827,-89.55,-113.867282614004,1395,170,2.07954910141207,-6.33178357067669,-5.596875,-7.16952401060133,NA,NA,NA,1,33.2727856225931
2552314,"Jake Ryan","FA","LB",27,4,NA,17.65,40.8336147757256,12.6326516482271,0.775356711861399,14,23.1836147757256,NA,189.5,105.5,11.5037154727192,NA,0,16,33.0634927797834,-101.517829973637,-102.4,-107.882017838278,1396,171,2.06646829873646,-6.3448643733523,-6.4,-6.79544496211848,NA,NA,NA,1,33.0634927797834
2552314,"Jake Ryan","JAC","LB",27,4,10,17.65,40.8336147757256,12.6326516482271,1.55071342372279,14,23.1836147757256,NA,189.5,105.5,11.5037154727192,NA,0,16,33.0634927797834,-101.517829973637,-102.4,-107.882017838278,1396,171,2.06646829873646,-6.3448643733523,-6.4,-6.79544496211848,NA,NA,NA,1,33.0634927797834
2555461,"Wendell Smallwood","FA","RB",25,3,NA,0,31.285095890411,17.9733414251097,0.814027141517261,11,31.285095890411,273.5,93.1,12.4,5.42987607538881,NA,14.5,16,19.0876297611488,-101.530343440239,-78.2525339720403,-117.658377853832,1397,105,1.1929768600718,-6.34564646501495,-4.89078337325252,-7.35364861586452,150.92,NA,1246.08,1,19.0876297611488
2561117,"Tarvarius Moore","SF","DB",NA,1,4,10.5,10.5,NA,0.263711205894397,15,0,NA,NA,NA,NA,NA,22.5,16,10.5,-101.645631192071,-88.6321600481348,-112.779783089683,1398,274,0.65625,-6.55811689646924,-5.53951000300842,-7.12343696433306,NA,NA,NA,1,10.5
2539219,"Blidi Wreh-Wilson","ATL","DB",30,6,9,0.99,8.48059,6.47709811566877,0.383716134164569,16,7.49059,NA,NA,NA,NA,NA,30,9.2305,10.4281468611879,-101.717484330883,-97.4161099966749,-108.579665002906,1399,275,1.12974886097047,-6.08461803549877,-6.08850687479218,-6.86092958390946,NA,NA,NA,1,10.4281468611879
2550198,"Bennie Fowler","FA","WR",28,5,NA,0,41.6810596325004,24.4723139444661,0.0163578731300156,12,41.6810596325004,323.3,150.8,15.4,5.0908817938029,NA,19.3,16,19.6743712569865,-102.093188267574,-89.3936008285204,-102.268616776559,1400,149,1.22964820356166,-6.40760063828256,-5.58710005178253,-6.39178854853491,150.98,1,1249.02,1,19.6743712569865
2550198,"Bennie Fowler","NYG","WR",28,5,11,0,41.6810596325004,24.4723139444661,0.0327157462600312,12,41.6810596325004,323.3,150.8,15.4,5.0908817938029,NA,19.3,16,19.6743712569865,-102.093188267574,-89.3936008285204,-102.268616776559,1400,149,1.22964820356166,-6.40760063828256,-5.58710005178253,-6.39178854853491,150.98,1,1249.02,1,19.6743712569865
2556277,"Marqui Christian","FA","DB",25,3,NA,7.91,11.0910475,2.75064537881567,0.397215363511659,15,3.1810475,NA,NA,NA,NA,NA,33.5,16,10.0444307270233,-102.101200465048,-91.2221600481348,-112.188735589683,1401,276,0.627776920438957,-6.58658997603028,-5.70138500300842,-7.08649649558306,NA,NA,NA,1,10.0444307270233
2556277,"Marqui Christian","LAR","DB",25,3,9,7.91,11.0910475,2.75064537881567,0.844430727023319,15,3.1810475,NA,NA,NA,NA,NA,33.5,16,10.0444307270233,-102.101200465048,-91.2221600481348,-112.188735589683,1401,276,0.627776920438957,-6.58658997603028,-5.70138500300842,-7.08649649558306,NA,NA,NA,1,10.0444307270233
2552656,"J.J. Nelson","FA","WR",27,4,NA,0,33.3314105893909,15.7008446392641,0.0708277553632293,12,33.3314105893909,337.8,132.5,14,4.7910618562274,NA,9.6,16,19.6416555107265,-102.125904013834,-89.3936008285204,-110.618265819668,1402,150,1.2276034694204,-6.40964537242381,-5.58710005178253,-6.91364161372925,150.86,1,1251.14,1,19.6416555107265
2552656,"J.J. Nelson","OAK","WR",27,4,6,0,33.3314105893909,15.7008446392641,0.427633813430507,12,33.3314105893909,337.8,132.5,14,4.7910618562274,NA,9.6,16,19.6416555107265,-102.125904013834,-89.3936008285204,-110.618265819668,1402,150,1.2276034694204,-6.40964537242381,-5.58710005178253,-6.91364161372925,150.86,1,1251.14,1,19.6416555107265
2532842,"Nick Foles","CHI","QB",30,7,6,42.5048682735646,224.439908449848,65.3815480293607,0.997951477980109,7,181.935040176283,202.8,26.4,1.7,2.89214769485295,28,31.74,16,162.864329576412,-102.169659269709,-187.25711361944,-64.4309973773621,1403,26,10.1790205985258,-6.38560370435681,-11.703569601215,-4.02693733608513,154.5033,2.2467,1248.4967,3,54.2881098588041
2532842,"Nick Foles","JAC","QB",30,7,10,42.5048682735646,224.439908449848,65.3815480293607,1.99590295596022,7,181.935040176283,202.8,26.4,1.7,2.89214769485295,28,31.74,16,162.864329576412,-102.169659269709,-187.25711361944,-64.4309973773621,1403,26,10.1790205985258,-6.38560370435681,-11.703569601215,-4.02693733608513,154.5033,2.2467,1248.4967,3,54.2881098588041
2562524,"Darius Slayton","NYG","WR",NA,0,11,19.5,19.5,NA,0.685585102619207,12,0,NA,NA,NA,NA,NA,122,16,19.5,-102.267559524561,-69.8936008285204,-124.449676409059,1404,151,1.21875,-6.41849884184421,-4.36835005178253,-7.77810477556618,NA,NA,NA,1,19.5
2560915,"Mark Walton","FA","RB",22,1,NA,0,29.9218580991725,14.7780662185133,0.136159461292007,11,29.9218580991725,279.8,96.9,14.7,6.17518191589953,NA,26,16,18.2736026196315,-102.344370581756,-78.2525339720403,-119.021615645071,1405,106,1.14210016372697,-6.39652316135978,-4.89078337325252,-7.43885097781692,150.98,NA,1254.02,1,18.2736026196315
2560915,"Mark Walton","MIA","RB",22,1,5,0,29.9218580991725,14.7780662185133,0.272318922584013,11,29.9218580991725,279.8,96.9,14.7,6.17518191589953,NA,26,16,18.2736026196315,-102.344370581756,-78.2525339720403,-119.021615645071,1405,106,1.14210016372697,-6.39652316135978,-4.89078337325252,-7.43885097781692,150.98,NA,1254.02,1,18.2736026196315
2555417,"C.J. Prosise","FA","RB",25,3,NA,0,26.1831134564644,21.5326774029761,0.200641848523752,11,26.1831134564644,362.8,106.1,20,7.8926258092503,NA,17.8,16,18.0012836970475,-102.61668950434,-78.2525339720403,-122.760360287779,1406,107,1.12508023106547,-6.41354309402128,-4.89078337325252,-7.67252251798618,150.94,NA,1255.06,1,18.0012836970475
2555417,"C.J. Prosise","SEA","RB",25,3,11,0,26.1831134564644,21.5326774029761,0.735614840426514,11,26.1831134564644,362.8,106.1,20,7.8926258092503,NA,17.8,16,18.0012836970475,-102.61668950434,-78.2525339720403,-122.760360287779,1406,107,1.12508023106547,-6.41354309402128,-4.89078337325252,-7.67252251798618,150.94,NA,1255.06,1,18.0012836970475
2560890,"Auden Tate","CIN","WR",22,1,9,0,26.7575714285714,18.2534498202879,0.227650194507042,12,26.7575714285714,NA,171.9,28.6,7.91775549094328,NA,60.5,10.1331,18.9280433945919,-102.839516129969,-89.3936008285204,-101.699906560035,1407,152,1.86794203102623,-5.76930681081798,-5.58710005178253,-6.3562441600022,NA,NA,NA,1,18.9280433945919
2562940,"Ka'dar Hollman","GB","DB",NA,0,11,9.25,9.25,NA,0.125,15,0,NA,NA,NA,NA,NA,0,16,9.25,-102.895631192071,-89.8821600481348,-114.029783089683,1408,277,0.578125,-6.63624189646924,-5.61763500300842,-7.20156196433306,NA,NA,NA,1,9.25
2562957,"Duke Shelley","CHI","DB",49,0,6,9.15,9.15,NA,0.0543861454046635,15,0,NA,NA,NA,NA,NA,0,16,9.15,-102.995631192071,-89.9821600481348,-114.129783089683,1409,278,0.571875,-6.64249189646924,-5.62388500300842,-7.20781196433306,NA,NA,NA,1,9.15
2562323,"Qadree Ollison","ATL","RB",49,0,9,17.6,17.6,NA,0.740092460251443,11,0,NA,NA,NA,NA,NA,29.7,16,17.6,-103.017973201388,-60.6525339720403,-131.343473744243,1410,108,1.1,-6.43862332508674,-3.79078337325252,-8.20896710901521,NA,NA,NA,1,17.6
2562649,"Rashad Fenton","KC","DB",49,0,12,9.1,9.1,NA,0.112673628210716,15,0,NA,NA,NA,NA,NA,23,16,9.1,-103.045631192071,-90.0321600481348,-114.179783089683,1411,279,0.56875,-6.64561689646924,-5.62701000300842,-7.21093696433306,NA,NA,NA,1,9.1
2541696,"Jordan Dangerfield","PIT","DB",NA,NA,7,6.345,10.43783875,3.53906943983867,0.260485699541306,15,4.09283875,NA,NA,NA,NA,NA,12.5,16,9.09122770919067,-103.05440348288,-92.7871600481348,-112.841944339683,1412,280,0.568201731824417,-6.64616516464482,-5.79919750300842,-7.12732204245806,NA,NA,NA,1,9.09122770919067
2562577,"Kelvin Harmon","WAS","WR",49,0,10,0,32.5600666631289,16.0286206754278,0.000786400169694446,12,32.5600666631289,292.4,122.9,19,5.86184734756846,NA,36.5,16,18.7007864001697,-103.066773124391,-89.3936008285204,-111.38960974593,1413,153,1.16879915001061,-6.46844969183361,-5.58710005178253,-6.96185060912063,150.99,NA,1262.01,1,18.7007864001697
2562269,"Travis Fulgham","DET","WR",NA,0,5,18.7,18.7,NA,0.00749751852983849,12,0,NA,NA,NA,NA,NA,0,16,18.7,-103.067559524561,-70.6936008285204,-125.249676409059,1414,154,1.16875,-6.46849884184421,-4.41835005178253,-7.82810477556618,NA,NA,NA,1,18.7
2562463,"KeeSean Johnson","ARI","WR",49,0,12,18.7,18.7,NA,0.014995037059677,12,0,NA,NA,NA,NA,NA,21.7,16,18.7,-103.067559524561,-70.6936008285204,-125.249676409059,1414,154,1.16875,-6.46849884184421,-4.41835005178253,-7.82810477556618,NA,NA,NA,1,18.7
2558982,"Hardy Nickerson","CIN","LB",25,2,9,20.305,38.6564,10.8438243810051,0.281389678030301,14,18.3514,NA,NA,NA,NA,NA,5.5,16,31.5127793560606,-103.06854339736,-99.745,-110.059232614004,1416,172,1.96954870975379,-6.44178396233497,-6.2340625,-6.93152088560133,NA,NA,NA,1,31.5127793560606
2558982,"Hardy Nickerson","FA","LB",25,2,NA,20.305,38.6564,10.8438243810051,0.562779356060606,14,18.3514,NA,NA,NA,NA,NA,5.5,16,31.5127793560606,-103.06854339736,-99.745,-110.059232614004,1416,172,1.96954870975379,-6.44178396233497,-6.2340625,-6.93152088560133,NA,NA,NA,1,31.5127793560606
2543759,"Ryan Grant","FA","WR",29,5,NA,4,36.20649325,18.9725582151221,0.227212311337837,12,32.20649325,324.9,117.7,15.2,5.04805037414925,NA,1.4,16,18.6850049629403,-103.08255456162,-85.3936008285204,-107.743183159059,1417,156,1.16781281018377,-6.46943603166044,-5.33710005178253,-6.73394894744118,150.98,1,1266.02,1,18.6850049629403
2543759,"Ryan Grant","OAK","WR",29,5,6,4,36.20649325,18.9725582151221,1.169714792808,12,32.20649325,324.9,117.7,15.2,5.04805037414925,NA,1.4,16,18.6850049629403,-103.08255456162,-85.3936008285204,-107.743183159059,1417,156,1.16781281018377,-6.46943603166044,-5.33710005178253,-6.73394894744118,150.98,1,1266.02,1,18.6850049629403
2543823,"E.J. Gaines","FA","DB",27,5,NA,0,15.3590978593272,13.9653589284343,0.105366049477057,15,15.3590978593272,NA,NA,NA,NA,NA,0,16,8.88342503438789,-103.262206157683,-99.1321600481348,-107.920685230356,1418,281,0.555214064649243,-6.65915283181999,-6.19576000300842,-6.8197433481251,NA,NA,NA,1,8.88342503438789
2508007,"Marcus Sherels","FA","DB",32,9,NA,3.645,11.29505125,6.61498393800015,0.0140294924554194,15,7.65005125,NA,NA,NA,NA,NA,0,16,8.77805898491084,-103.36757220716,-95.4871600481348,-111.984731839683,1419,282,0.548628686556927,-6.66573820991231,-5.96794750300842,-7.07374626120806,NA,NA,NA,1,8.77805898491084
2508007,"Marcus Sherels","NO","DB",32,9,9,3.645,11.29505125,6.61498393800015,0.028058984910837,15,7.65005125,NA,NA,NA,NA,NA,0,16,8.77805898491084,-103.36757220716,-95.4871600481348,-111.984731839683,1419,282,0.548628686556927,-6.66573820991231,-5.96794750300842,-7.07374626120806,NA,NA,NA,1,8.77805898491084
2555545,"Will Redmond","GB","DB",26,3,11,8.75,8.75,NA,0.125,15,0,NA,NA,NA,NA,NA,31.5,16,8.75,-103.395631192071,-90.3821600481348,-114.529783089683,1420,283,0.546875,-6.66749189646924,-5.64888500300842,-7.23281196433306,NA,NA,NA,1,8.75
2555545,"Will Redmond","SF","DB",26,3,4,8.75,8.75,NA,0.40840758527095,15,0,NA,NA,NA,NA,NA,31.5,16,8.75,-103.395631192071,-90.3821600481348,-114.529783089683,1420,283,0.546875,-6.66749189646924,-5.64888500300842,-7.23281196433306,NA,NA,NA,1,8.75
2553737,"Eli Rogers","FA","WR",NA,NA,NA,0,36.0975781155015,25.3611927167463,1.82718096561997,12,36.0975781155015,414.8,155,21.3,6.35440867358534,NA,0,16,18.2305803402647,-103.536979184296,-89.3936008285204,-107.852098293557,1421,157,1.13941127126654,-6.49783757057767,-5.58710005178253,-6.74075614334734,150.96,NA,1270.04,1,18.2305803402647
2543868,"Cassius Marsh","FA","LB",27,5,NA,30.95,30.95,NA,0.0579575611843701,14,0,NA,77,19,4.87935755091151,NA,35.5,16,30.95,-103.63132275342,-89.1,-117.765632614004,1422,173,1.934375,-6.47695767208876,-5.56875,-7.41317088560133,NA,NA,NA,1,30.95
2543868,"Cassius Marsh","JAC","LB",27,5,10,30.95,30.95,NA,0.197820250578314,14,0,NA,77,19,4.87935755091151,NA,35.5,16,30.95,-103.63132275342,-89.1,-117.765632614004,1422,173,1.934375,-6.47695767208876,-5.56875,-7.41317088560133,NA,NA,NA,1,30.95
